Month,Day,Hour,Solar_Radiation,Cloud_Cover,Ozone_Level,Altitude,UV_Index,UV_Risk_Level
7,16,16,759.7641664267073,0.875883083517057,364.89430352090983,0.24174243685954078,0.5873533730436887,Low
4,4,20,654.3869052341611,0.5390945527360087,229.28725132056323,0.441489753284836,1.2034763643987298,Low
11,11,7,269.2222611538745,0.2824724263700037,366.5859431148456,0.8939317064875313,1.2857566178328004,Low
8,24,14,419.8461118171655,0.4252281854376939,308.05930635806146,0.2692785016804714,1.2723559164833071,Low
5,23,13,805.4126060368575,0.03757109039890738,368.9331818180449,2.7324787940589457,6.0687117674214175,High
7,9,17,598.803862718815,0.12786680122241756,286.2603412682029,0.018141129551935253,2.496114434462603,Low
10,23,19,104.70665218862146,0.7655467505158609,275.808097076607,1.4515806565929341,0.1292265435082197,Low
3,3,6,784.8916840252845,1.1634755366141114e-05,383.01214650344446,0.36974237439765434,5.195578827552429,Moderate
7,19,2,131.78021944621517,0.4165658284822922,250.23385350968027,0.9230372684338456,0.3502517528434252,Low
11,8,11,771.1604044581089,0.5225101810855884,368.84246505722865,2.7781786794547965,2.8924606575253735,Low
11,5,20,282.2325041487137,0.054634420000972295,296.8041145018808,0.48508365982196056,1.3838766507981661,Low
8,4,23,962.2661321074422,0.9730781629723328,302.81908851025196,2.897496959154998,0.16863096419015536,Low
5,24,2,431.14667617187604,0.22612533124967193,261.6936562978968,0.6173831309682651,1.5450947164115814,Low
4,6,19,394.2384547042712,0.30419871963628087,314.6084401238031,2.224698325400489,1.7583344178057334,Low
8,2,13,233.9992452992002,0.30394251225502733,265.0422392552423,1.6400317946919352,0.8374860364779319,Low
8,20,14,375.04379394119337,0.2304166621173499,207.85388284833047,2.6534361827902773,1.2651820165099201,Low
3,28,13,888.9856856453805,0.001473822086311416,254.3997210688712,1.661979766509393,4.3892658605634285,Moderate
6,11,6,996.7009038645226,0.7293447940879964,201.27580868131813,1.603677657468926,1.050067513665311,Low
5,4,16,431.4785774561635,0.9668454997992854,395.6709574113713,0.5863740011051997,0.0998692710570774,Low
2,15,11,503.7495678590883,0.22429348328504506,393.14944196394947,0.4986880861549762,2.6881504578336406,Low
8,6,19,749.8638443824633,0.6630471918034224,279.03105949446103,2.7494674533465426,1.4981139104799057,Low
12,22,3,897.576202418567,0.7418963269587151,345.6741708679292,0.9835145965501022,1.4659613674855085,Low
6,17,8,633.7399007681057,0.8484253790905247,269.161219682085,1.1162467648886878,0.4790236530759565,Low
2,24,5,452.3731283600464,0.4226291970136091,334.2186314171952,2.2794709752851654,1.7865315104898036,Low
12,6,15,471.3596567637614,0.30293090564042924,361.0860086091958,1.016470447268422,2.1783623439306243,Low
5,19,21,726.0563318471262,0.3252951340230311,389.3512489384482,2.856187339917008,4.086830949125526,Moderate
1,25,21,102.89643724385081,0.7126213330985128,280.0424551699344,2.213783306996401,0.16856899605440148,Low
12,2,20,657.6304037138566,0.816779466505636,356.65959659120955,1.79228772772026,0.8446110474673257,Low
10,15,20,419.94370939722165,0.18161396775660266,253.18569012642376,2.6426854816342575,1.8334814824924073,Low
6,11,1,814.7775981493759,0.3709410081577652,398.0664607587297,0.14881772504844826,3.451041994097145,Moderate
12,8,23,183.69157584081893,0.90194019674915,205.15391975287022,0.7711880765676262,0.06633953688777094,Low
9,26,7,629.3820402535515,0.8066935196947392,320.7057613002242,1.3951090026627297,0.7410282326816668,Low
1,19,10,532.8756008975114,0.9848584027624758,331.9011963302654,0.6809356184145631,0.04767211169650536,Low
